website,summary
https://www.ibm.com/topics/machine-learning ,Invalid URL
https://www.geeksforgeeks.org/basics-computer-networking/," Each device has an IP Address, that helps in identifying a device. Each device has an IP Address, that helps in identifying a device. Computer networks can also include multiple devices/mediums which help in the communication between two different devices; these are known as Network devices and include things such as routers, switches, hubs, and bridges. Computer networks can also include multiple devices/mediums which help in the communication between two different devices; these are known as Network devices and include things such as routers, switches, hubs, and bridges. IP Address (Internet Protocol address): Also known as the Logical Address, the IP Address is the network address of the system across the network. IP Address (Internet Protocol address): Also known as the Logical Address, the IP Address is the network address of the system across the network."
